sample,group,condition,time
CatA_0000_1,CatA_0000,CatA,0
CatA_0000_2,CatA_0000,CatA,0
CatA_0000_3,CatA_0000,CatA,0
CatA_0000_4,CatA_0000,CatA,0
CatA_0030_1,CatA_0030,CatA,30
CatA_0030_2,CatA_0030,CatA,30
CatA_0030_3,CatA_0030,CatA,30
CatA_0030_4,CatA_0030,CatA,30
CatA_0090_1,CatA_0090,CatA,90
CatA_0090_2,CatA_0090,CatA,90
CatA_0090_3,CatA_0090,CatA,90
CatA_0090_4,CatA_0090,CatA,90
CatC_0000_1,CatC_0000,CatC,0
CatC_0000_2,CatC_0000,CatC,0
CatC_0000_3,CatC_0000,CatC,0
CatC_0000_4,CatC_0000,CatC,0
CatC_0030_1,CatC_0030,CatC,30
CatC_0030_2,CatC_0030,CatC,30
CatC_0030_3,CatC_0030,CatC,30
CatC_0030_4,CatC_0030,CatC,30
CatC_0090_1,CatC_0090,CatC,90
CatC_0090_2,CatC_0090,CatC,90
CatC_0090_3,CatC_0090,CatC,90
CatC_0090_4,CatC_0090,CatC,90
CatB_0000_1,CatB_0000,CatB,0
CatB_0000_2,CatB_0000,CatB,0
CatB_0000_3,CatB_0000,CatB,0
CatB_0000_4,CatB_0000,CatB,0
CatB_0015_1,CatB_0015,CatB,15
CatB_0015_2,CatB_0015,CatB,15
CatB_0015_3,CatB_0015,CatB,15
CatB_0015_4,CatB_0015,CatB,15
CatB_0060_1,CatB_0060,CatB,60
CatB_0060_2,CatB_0060,CatB,60
CatB_0060_3,CatB_0060,CatB,60
CatB_0060_4,CatB_0060,CatB,60
CatD_0000_1,CatD_0000,CatD,0
CatD_0000_2,CatD_0000,CatD,0
CatD_0015_1,CatD_0015,CatD,15
CatD_0015_2,CatD_0015,CatD,15
CatD_0015_3,CatD_0015,CatD,15
CatD_0015_4,CatD_0015,CatD,15
